date,open,high,low,close,volume,adj_close
2020-01-02,132.0,133.5,129.59,132.08,306674,132.08
2020-01-03,131.6,132.07,129.61,130.55,204692,130.55
2020-01-06,130.0,130.25,128.52,129.2,259370,129.2
2020-01-07,129.5,131.07,129.0,129.37,223278,129.37
2020-01-08,128.99,129.76,128.05,128.89,161802,128.89
2020-01-09,129.0,131.2,128.25,130.77,255491,130.77
2020-01-10,130.5,134.05,130.5,133.62,429695,133.62
2020-01-13,134.26,140.0,134.25,139.66,496042,139.66
2020-01-14,140.1,140.68,138.2,138.56,199073,138.56
2020-01-15,138.56,142.81,138.55,140.8,234789,140.8
2020-01-16,140.8,142.0,139.3,140.66,145360,140.66
2020-01-17,141.26,141.8,138.3,138.55,148478,138.55
2020-01-20,140.55,140.66,136.8,137.56,167538,137.56
2020-01-21,136.5,136.5,132.01,132.62,293073,132.62
2020-01-22,130.99,132.67,129.76,131.7,257531,131.7
2020-01-23,131.77,131.77,125.0,126.16,415937,126.16
2020-02-03,113.54,113.54,113.54,113.54,167639,113.54
2020-02-04,109.0,120.0,109.0,114.5,710214,114.5
2020-02-05,115.9,119.8,114.1,117.51,388783,117.51
2020-02-06,119.0,119.94,116.6,119.15,306551,119.15
2020-02-07,119.25,120.93,117.61,120.58,280117,120.58
2020-02-10,119.5,122.33,118.58,121.13,221877,121.13
2020-02-11,121.15,125.5,121.15,124.79,245774,124.79
2020-02-12,124.5,125.25,122.77,124.49,175114,124.49
2020-02-13,124.88,126.66,123.37,124.14,178629,124.14
2020-02-14,124.2,125.88,122.45,123.43,169720,123.43
2020-02-17,123.18,124.3,122.58,124.3,238169,124.3
2020-02-18,123.8,124.3,123.01,123.39,128728,123.39
2020-02-19,123.78,127.18,122.68,126.0,316628,126.0
2020-02-20,127.0,130.58,126.89,130.15,334662,130.15
2020-02-21,130.0,131.2,129.02,130.0,207438,130.0
2020-02-24,129.4,129.4,126.7,127.1,235601,127.1
2020-02-25,124.8,127.0,123.86,125.3,240633,125.3
2020-02-26,123.83,126.42,123.0,124.1,214179,124.1
2020-02-27,124.8,127.75,124.5,126.3,235732,126.3
2020-02-28,124.0,124.03,119.0,120.6,366012,120.6
2020-03-02,120.1,123.6,119.6,122.65,269822,122.65
2020-03-03,123.7,125.88,123.7,124.37,230923,124.37
2020-03-04,124.0,125.93,124.0,125.27,197575,125.27
2020-03-05,126.55,134.88,126.0,133.2,565620,133.2
2020-03-06,132.0,134.88,130.0,130.07,291658,130.07
2020-03-09,128.0,128.25,126.04,126.3,244542,126.3
2020-03-10,126.3,131.63,126.2,130.72,310772,130.72
2020-03-11,132.5,132.8,129.5,129.9,187635,129.9
2020-03-12,126.88,128.11,125.86,126.04,252660,126.04
2020-03-13,120.0,125.22,118.88,122.6,350887,122.6
2020-03-16,121.4,122.4,114.41,115.5,370242,115.5
