date,open,high,low,close,volume,adj_close
2024-04-01,28.0,28.38,27.6,27.76,11004376,27.76
2024-04-02,27.7,28.11,27.62,27.81,12524994,27.81
2024-04-03,27.41,27.58,27.05,27.27,10171193,27.27
2024-04-04,27.0,27.02,26.1,26.12,8583526,26.12
2024-04-05,26.2,26.29,25.96,26.02,5699375,26.02
2024-04-08,26.1,26.33,25.87,25.94,5572335,25.94
2024-04-09,26.1,26.73,25.98,26.7,11757269,26.7
2024-04-10,26.62,27.07,26.42,26.67,6012583,26.67
2024-04-11,27.02,27.32,26.71,26.99,6212301,26.99
2024-04-12,26.05,26.06,25.38,25.39,15121914,25.39
2024-04-15,25.89,26.18,25.3,25.42,10557555,25.42
2024-04-16,25.04,25.38,24.66,25.06,7515153,25.06
2024-04-17,25.27,25.62,25.1,25.15,5683890,25.15
2024-04-18,24.94,25.74,24.93,25.46,10096155,25.46
2024-04-19,24.98,25.53,24.83,25.51,14563079,25.51
2024-04-22,25.7,27.02,25.68,26.99,17274494,26.99
2024-04-23,27.34,27.64,27.13,27.55,11831161,27.55
2024-04-24,28.19,28.4,27.98,28.27,11230312,28.27
2024-04-25,28.14,28.71,28.11,28.59,11071007,28.59
2024-04-26,29.89,30.46,29.73,30.34,22195234,30.34
2024-04-29,29.99,30.35,29.64,29.89,9079729,29.89
2024-04-30,29.27,29.55,28.86,28.89,9345057,28.89
2024-05-01,28.86,29.57,28.71,29.27,7695413,29.27
