date,open,high,low,close,volume,adj_close
2024-04-01,4.63,4.75,4.57,4.64,42632696,4.64
2024-04-02,4.47,4.58,4.38,4.54,38932682,4.54
2024-04-03,4.46,4.51,4.36,4.49,33078467,4.49
2024-04-04,4.55,4.75,4.49,4.5,53856513,4.5
2024-04-05,4.5,4.58,4.38,4.39,43081002,4.39
2024-04-08,4.41,4.53,4.37,4.37,47453507,4.37
2024-04-09,4.43,4.79,4.42,4.71,76665950,4.71
2024-04-10,4.58,4.69,4.54,4.59,32567955,4.59
2024-04-11,4.6,4.61,4.43,4.46,39040165,4.46
2024-04-12,4.35,4.35,4.09,4.11,74932096,4.11
2024-04-15,4.19,4.19,3.82,3.89,70661317,3.89
2024-04-16,3.75,3.91,3.71,3.81,42222200,3.81
2024-04-17,3.87,3.96,3.84,3.91,38766961,3.91
2024-04-18,3.9,4.09,3.85,4.0,38392131,4.0
2024-04-19,3.86,3.92,3.78,3.8,35883783,3.8
2024-04-22,3.68,4.05,3.61,4.0,60179617,4.0
2024-04-23,3.99,4.13,3.98,4.01,41987837,4.01
2024-04-24,4.15,4.22,4.05,4.15,34562025,4.15
2024-04-25,4.05,4.17,4.03,4.13,25888388,4.13
2024-04-26,4.43,4.54,4.39,4.49,59264404,4.49
2024-04-29,4.67,4.68,4.47,4.6,56379782,4.6
2024-04-30,4.7,4.75,4.51,4.72,52936247,4.72
2024-05-01,4.76,5.44,4.74,5.27,148038876,5.27
