date,open,high,low,close,volume,adj_close
2024-04-01,902.99,922.25,892.04,903.63,45244137,903.63
2024-04-02,884.48,900.94,876.2,894.52,43306334,894.52
2024-04-03,884.84,903.74,884.0,889.64,37006655,889.64
2024-04-04,904.06,906.34,858.8,859.05,43496492,859.05
2024-04-05,868.66,884.81,859.26,880.08,39967846,880.08
2024-04-08,887.0,888.3,867.32,871.33,28322000,871.33
2024-04-09,874.42,876.35,830.22,853.54,50354735,853.54
2024-04-10,839.26,874.0,837.09,870.39,43192853,870.39
2024-04-11,874.2,907.39,869.26,906.16,43163727,906.16
2024-04-12,896.99,901.75,875.3,881.86,42680479,881.86
2024-04-15,890.98,906.13,859.29,860.01,44307695,860.01
2024-04-16,864.33,881.18,860.64,874.15,37045302,874.15
2024-04-17,883.4,887.75,839.5,840.35,49539951,840.35
2024-04-18,849.7,861.9,824.02,846.71,44726034,846.71
2024-04-19,831.5,843.24,756.06,762.0,87519800,762.0
2024-04-22,781.04,800.73,764.0,795.18,59634000,795.18
2024-04-23,807.69,827.69,802.64,824.23,43855937,824.23
2024-04-24,839.5,840.82,791.83,796.77,51220753,796.77
2024-04-25,788.68,833.23,782.23,826.32,42464073,826.32
2024-04-26,838.18,883.31,833.87,877.35,55100967,877.35
2024-04-29,875.95,879.92,852.66,877.57,38897076,877.57
2024-04-30,872.4,888.19,863.0,864.02,36370870,864.02
2024-05-01,850.77,860.0,812.55,830.41,55986317,830.41
